admin_audit_logs	admin_audit_logs_pkey	CREATE UNIQUE INDEX admin_audit_logs_pkey ON public.admin_audit_logs USING btree (id)
ai_configs	ai_configs_pkey	CREATE UNIQUE INDEX ai_configs_pkey ON public.ai_configs USING btree (id)
ai_configs	idx_ai_configs_one_default_per_user	CREATE UNIQUE INDEX idx_ai_configs_one_default_per_user ON public.ai_configs USING btree (user_id) WHERE (is_default = true)
ai_roles	ai_roles_pkey	CREATE UNIQUE INDEX ai_roles_pkey ON public.ai_roles USING btree (id)
ai_usage_logs	ai_usage_logs_pkey	CREATE UNIQUE INDEX ai_usage_logs_pkey ON public.ai_usage_logs USING btree (id)
api_channels	api_channels_pkey	CREATE UNIQUE INDEX api_channels_pkey ON public.api_channels USING btree (id)
api_channels	idx_api_channels_status	CREATE INDEX idx_api_channels_status ON public.api_channels USING btree (status)
art_assets	art_assets_category_asset_key_version_key	CREATE UNIQUE INDEX art_assets_category_asset_key_version_key ON public.art_assets USING btree (category, asset_key, version)
art_assets	art_assets_pkey	CREATE UNIQUE INDEX art_assets_pkey ON public.art_assets USING btree (id)
art_assets	idx_art_assets_category	CREATE INDEX idx_art_assets_category ON public.art_assets USING btree (category)
art_assets	idx_art_assets_lookup	CREATE INDEX idx_art_assets_lookup ON public.art_assets USING btree (category, asset_key, is_published, is_active)
chapter_analysis	chapter_analysis_pkey	CREATE UNIQUE INDEX chapter_analysis_pkey ON public.chapter_analysis USING btree (id)
chapter_analysis	idx_chapter_analysis_chapter	CREATE INDEX idx_chapter_analysis_chapter ON public.chapter_analysis USING btree (chapter_id)
chapter_analysis	idx_chapter_analysis_project	CREATE INDEX idx_chapter_analysis_project ON public.chapter_analysis USING btree (project_id)
chapter_analysis	idx_chapter_analysis_status	CREATE INDEX idx_chapter_analysis_status ON public.chapter_analysis USING btree (status)
chapter_analysis	idx_chapter_analysis_user	CREATE INDEX idx_chapter_analysis_user ON public.chapter_analysis USING btree (user_id)
chapter_versions	chapter_versions_pkey	CREATE UNIQUE INDEX chapter_versions_pkey ON public.chapter_versions USING btree (id)
chapter_versions	idx_cv_chapter_status	CREATE INDEX idx_cv_chapter_status ON public.chapter_versions USING btree (chapter_id, status)
chapter_versions	idx_cv_parent	CREATE INDEX idx_cv_parent ON public.chapter_versions USING btree (parent_version_id)
chapters	chapters_pkey	CREATE UNIQUE INDEX chapters_pkey ON public.chapters USING btree (id)
chapters	idx_chapters_deleted_at	CREATE INDEX idx_chapters_deleted_at ON public.chapters USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)
chapters	idx_chapters_unit_status	CREATE INDEX idx_chapters_unit_status ON public.chapters USING btree (unit_id, status)
character_states	character_states_pkey	CREATE UNIQUE INDEX character_states_pkey ON public.character_states USING btree (id)
checkin_records	checkin_records_pkey	CREATE UNIQUE INDEX checkin_records_pkey ON public.checkin_records USING btree (id)
checkin_records	idx_checkin_records_user_date	CREATE INDEX idx_checkin_records_user_date ON public.checkin_records USING btree (user_id, checkin_date)
content_fingerprints	content_fingerprints_pkey	CREATE UNIQUE INDEX content_fingerprints_pkey ON public.content_fingerprints USING btree (id)
content_fingerprints	content_fingerprints_template_id_unique	CREATE UNIQUE INDEX content_fingerprints_template_id_unique ON public.content_fingerprints USING btree (template_id)
